Genes	module
Parp1	22
Pi4ka	22
Pik3cg	22
Prr12	22
Ptpn6	22
Pxdc1	22
Rabep2	22
Sh2b3	22
Siglecg	22
Sipa1	22
Slc12a6	22
Slc19a1	22
Stard3	22
Swap70	22
Tapt1	22
Tnfrsf13c	22
Unc93b1	22
Usf2	22
Vezf1	22
Zdhhc4	22
Zfp429	22
Zfp433	22
Zfp53	22
Zfyve26	22
2900026A02Rik	23
AI467606	23
Adssl1	23
Agap1	23
Agap2	23
Akap1	23
Akap6	23
Aldh1a1	23
Apbb2	23
Bgn	23
Ccdc171	23
Chid1	23
Cnga1	23
Cxx1a	23
D1Ertd622e	23
D5Ertd579e	23
Dnajb14	23
Eid2	23
Fam195a	23
Fn1	23
Foxp2	23
Fuca2	23
Gm7337	23
H1f0	23
Hdgfrp3	23
Hmgb1-rs17	23
Hp	23
Ifrd2	23
Iigp1	23
Kxd1	23
LOC100504703	23
Leprel4	23
Lrg1	23
Mafk	23
Mical3	23
Mis18bp1	23
Mtmr10	23
Mvk	23
Mxra8	23
Myo9a	23
Ndufc1	23
Nelfcd	23
Pkia	23
Pltp	23
Prelp	23
Ptdss2	23
Ptms	23
R3hdm2	23
Scara3	23
Sla	23
Slc16a2	23
Spg20	23
Stmn2	23
Taf1a	23
Tcea3	23
Tmem242	23
Tnfaip2	23
Tppp3	23
Uvrag	23
Vwf	23
Zfp943	23
2210018M11Rik	24
Actb	24
Bean1	24
Brd3	24
Camk2g	24
Ccnd2	24
Ccndbp1	24
Celf1	24
Celf2	24
Chd8	24
Cr2	24
D16Ertd472e	24
Daxx	24
Dtx1	24
Gdi2	24
Ggps1	24
Ghitm	24
Gnptg	24
Gpx2	24
H2afy	24
Ing1	24
Itga6	24
Jmjd1c	24
Lpp	24
Lrpprc	24
Lrrc58	24
Mbnl2	24
Ndrg3	24
Pabpn1	24
Pdcd10	24
Pgls	24
Phf21a	24
Ptp4a2	24
Pura	24
Rab14	24
Rcor1	24
Rprd1a	24
Rsbn1	24
Runx3	24
Slfn2	24
Tanc2	24
Tcf20	24
Tes	24
Tnpo3	24
Trrap	24
Tsn	24
Ube2r2	24
Xlr4c	24
Zbtb7a	24
Zc3h11a	24
Arf1	25
Arpc1b	25
Atp6v0b	25
Chsy1	25
Copa	25
Eef2	25
Eif5a	25
Erdr1	25
Ermp1	25
Fbxo46	25
Fig4	25
Flna	25
Fubp1	25
Gimap6	25
Gnas	25
Ifi27l2a	25
Ilk	25
Kpnb1	25
Lcp1	25
Leng8	25
Lipa	25
Mbp	25
Mcm6	25
Mrps16	25
Mtmr12	25
Nckap1l	25
Nsa2	25
Paics	25
Pfdn5	25
Pqbp1	25
Prpf6	25
Rac2	25
Rin3	25
Sell	25
Snrnp70	25
Tgfbr2	25
Tln1	25
Tmem127	25
Trim28	25
Tuba1b	25
Wdr1	25
Ywhae	25
Zfp664	25
4930426D05Rik	26
AW112010	26
Akt2	26
Atpif1	26
Bcl2a1b	26
Calcoco1	26
Cd37	26
Churc1	26
Cks2	26
D4Wsu53e	26
Gls	26
Gm11346	26
Gm5547	26
Gm6607	26
Hint1	26
Mir682	26
Morf4l1	26
Mrpl13	26
Nrd1	26
Ost4	26
Pcbd2	26
Pdss1	26
Pgap1	26
Rpl27	26
Rpl27a	26
Rpl35a	26
Rpl37a	26
Rpl9	26
Rps10	26
Rps11	26
Rps18	26
Rps19	26
Rps25	26
Rps28	26
Rps7	26
Scaf1	26
Sf3a2	26
Shfm1	26
Snhg6	26
Tapbp	26
Tbca	26
Tra2b	26
2410002F23Rik	27
AI413582	27
Araf	27
Arf3	27
Armc6	27
Bms1	27
Calm3	27
Cc2d1a	27
Dhrs4	27
Exosc10	27
Fbl	27
Fbxl15	27
Gne	27
Gsdmd	27
Hmgb1	27
Hspa14	27
Ints3	27
Lage3	27
Mtor	27
Ndufb8	27
Nol7	27
Nufip2	27
Ogfr	27
Pacs1	27
Phc2	27
Polr2l	27
Ppox	27
Rbm14	27
Rbm19	27
Rpia	27
Sf3a3	27
Slc38a1	27
Smap1	27
Snrpa1	27
Strbp	27
Tada2b	27
Trmu	27
Tubg1	27
Ung	27
Uqcrc1	27
Utp6	27
Zfp746	27
1700011J10Rik	28
1810026B05Rik	28
4831440E17Rik	28
Aes	28
Alkbh1	28
Birc2	28
Birc3	28
Ccnl2	28
Cdt1	28
Clk1	28
Dmtf1	28
Fgfr1op	28
Gltscr2	28
H2-M3	28
Hnrnph1	28
Mir17hg	28
Mir684-1	28
Myh9	28
Ncl	28
Necap1	28
Nxf1	28
Ogt	28
Paxbp1	28
Pkm	28
Polr2k	28
Ptbp2	28
Rnf138	28
Slc17a9	28
Slc1a5	28
Srsf2	28
Srsf6	28
Srsf7	28
Stk17b	28
Tmem161a	28
Wsb1	28
Ythdf3	28
Zfp36l1	28
1110004F10Rik	29
Asl	29
Capns1	29
Cdc73	29
Cdkn2c	29
Chst15	29
Cyb561d1	29
Dcp1b	29
Dhodh	29
Eci2	29
Fermt2	29
Fmnl2	29
Gemin6	29
Golph3l	29
Haus8	29
Lsmd1	29
Mgat4b	29
P2ry13	29
Pikfyve	29
Pmm1	29
Pold2	29
Pramef8	29
Proser1	29
Rassf6	29
Rnf181	29
Sap18	29
Seh1l	29
Ssfa2	29
Tnfsf14	29
Tor3a	29
Ttc17	29
Ube2g1	29
Zdhhc17	29
Zkscan17	29
Actn1	30
Ak3	30
Bag1	30
Cenpb	30
Cept1	30
Crebzf	30
Ctsd	30
Ctsl	30
Dbi	30
Dck	30
Eng	30
Epn1	30
Eri3	30
Ftl1	30
Fxr2	30
Gabarap	30
Hivep2	30
Ifitm2	30
Ikbke	30
Inmt	30
Lbr	30
Ly9	30
Lyz2	30
Nop56	30
Phkg2	30
Ranbp10	30
Slc25a39	30
Tgm2	30
Usp24	30
Wdsub1	30
Zmym2	30
AI846148	31
Appl1	31
Atraid	31
Ctu2	31
Dtx2	31
Exosc7	31
Fancl	31
Fbxo8	31
Fmnl3	31
Gltpd1	31
Gm5512	31
Gm608	31
Kansl1	31
Kctd13	31
Lyrm5	31
Mcat	31
Mon1b	31
Ncoa1	31
Nr2c2ap	31
Phka1	31
Ppcs	31
Psen1	31
Ralgapb	31
Slc30a4	31
Snrnp48	31
Sphk2	31
Spint2	31
Syncrip	31
Tmem163	31
Ttll12	31
Zswim8	31
A930013F10Rik	32
B2m	32
Cd3d	32
Crip1	32
Dmxl1	32
Grcc10	32
Man2b1	32
Rpl13	32
Rpl13a	32
Rpl14	32
Rpl19	32
Rpl23	32
Rpl24	32
Rpl31	32
Rpl35	32
Rpl36	32
Rpl8	32
Rplp1	32
Rplp2	32
Rps20	32
Rps24	32
Rps5	32
Rps8	32
Rps9	32
Rpsa	32
Snrpd2	32
Tpt1	32
Ubl5	32
5430435G22Rik	33
Atp2b1	33
C1s	33
Cbx5	33
Cd164	33
Cd82	33
Col5a2	33
Cpsf2	33
Csrp1	33
Cygb	33
Echdc1	33
Elovl6	33
Fxyd2	33
Gak	33
Gm20594	33
Gng11	33
Igflr1	33
Itpr3	33
Nfia	33
Sart3	33
Serpinb9	33
